order_id,user_id,start_location,end_location,priority,start_time,end_time
1,1,"Marienplatz, Munich, Germany","Olympiapark, Munich, Germany",1,2024-08-01 07:00:00,
2,2,"Marienplatz, Munich, Germany","English Garden, Munich, Germany",2,,2024-08-01 09:00:00
3,1,"Olympiapark, Munich, Germany","Marienplatz, Munich, Germany",1,,2024-08-01 11:00:00
4,3,"Nymphenburg Palace, Munich, Germany","Hofbräuhaus, Munich, Germany",3,2024-08-01 08:00:00,
6,5,"Nymphenburg Palace, Munich, Germany","Hofbräuhaus, Munich, Germany",2,2024-08-01 07:00:00,
7,6,"Nymphenburg Palace, Munich, Germany","Hofbräuhaus, Munich, Germany",3,2024-08-01 17:00:00,
8,4,"Nymphenburg Palace, Munich, Germany","Hofbräuhaus, Munich, Germany",1,,2024-08-01 14:00:00
9,3,"Hofbräuhaus, Munich, Germany","Nymphenburg Palace, Munich, Germany",2,,2024-08-01 18:00:00
10,9,"Marienplatz, Munich, Germany","Olympiapark, Munich, Germany",1,2024-08-02 07:00:00,
14,1,"Olympiapark, Munich, Germany","Marienplatz, Munich, Germany",1,,2024-08-01 11:00:00
16,2,"Marienplatz, Munich, Germany","English Garden, Munich, Germany",2,,2024-08-01 09:00:00
